character,romaji,meaning
光熱費,kounetsuhi,cost of fuel and light
購買,koubai,"purchase, buy"
好評,kouhyou,"popularity, favorable reputation"
交付,koufu,"delivering, furnishing (with copies)"
公募,koubo,"public appeal, public contribution"
巧妙,koumyou,"ingenious, skillful, clever"
公用,kouyou,"government business, public use, public expense"
小売,kouri,retail
効率,kouritsu,efficiency
公立,kouritsu,public institution
護衛,goei,"guard, convoy, escort"
コーナー,koonaa,corner
小柄,kogara,"small, diminutive"
小切手,kogitte,"cheque, check"
国産,kokusan,domestic products
国定,kokutei,"state-sponsored, national"
告白,kokuhaku,"confession, acknowledgment"
国防,kokubou,national defense
国有,kokuyuu,national ownership
極楽,gokuraku,paradise
国連,kokuren,"U.N., United Nations"
焦げ茶,kogecha,dark brown
語源,gogen,"word root, word derivation, etymology"
心地,kokochi,"feeling, sensation, mood"
心得,kokoroe,"knowledge, information"
心掛け,kokorogake,"readiness, intention, aim"
心掛ける,kokorogakeru,"to bear in mind, to aim to do"
志,kokorozashi,"will, intention, motive"
志す,kokorozasu,"to plan, to intend, to aspire to"
心強い,kokorozuyoi,"heartening, reassuring"
心細い,kokorobosoi,"helpless, hopeless, discouraging"
試み,kokoromi,"trial, experiment"
試みる,kokoromiru,"to try, to test"
快い,kokoroyoi,"pleasant, agreeable"
誤差,gosa,error
ございます (かん),gozaimasu (kan),"to be (polite, to exist)"
孤児,koji,orphan
こじれる,kojireru,"to get complicated, to grow worse"
こす (みずを~),kosu (mizuo~),"to strain, to filter"
梢,kozue,treetop
個性,kosei,"individuality, personality, idiosyncrasy"
戸籍,koseki,"census, family register"
古代,kodai,ancient times
こたつ,kotatsu,"table with heater, (originally) charcoal brazier in a floor well"
こだわる,kodawaru,"to fuss over, to be particular about"
誇張,kochou,exaggeration
こつ (をつかむ),kotsu (otsukamu),"secret, trick, hang"
滑稽,kokkei,"funny, humorous, comical"
国交,kokkou,diplomatic relations
骨董品,kottouhin,curio
固定,kotei,"fixation, fixing (e.g., salary, capital)"
事柄,kotogara,"matter, thing, affair, circumstance"
孤独,kodoku,"isolation, loneliness, solitude"
ことごとく,kotogotoku,"altogether, entirely"
言付け,kotozuke,to leave a message
殊に,kotoni,"especially, above all"
粉々,konagona,in very small pieces
好ましい,konomashii,"nice, likable, desirable"
碁盤,goban,Go board
個別,kobetsu,particular case
ごまかす,gomakasu,"to deceive, to falsify, to misrepresent"
細やか,komayaka,"meager, modest"
コマーシャル,komaasharu,a commercial
込める,komeru,"to include, to put into"
コメント,komento,comment
籠もる,komoru,"to seclude oneself, to be confined in"
固有,koyuu,"characteristic, tradition, peculiar"
暦,koyomi,"calendar, almanac"
凝らす,korasu,"to concentrate, to devote, to peer into"
ごらんなさい (かん),gorannasai (kan),"look, (please) try to do"
孤立,koritsu,"isolation, helplessness"
懲りる,koriru,"to learn by experience, to be disgusted with"
凝る,koru,"to stiffen, to harden"
根気,konki,"patience; perseverance, energy"
根拠,konkyo,"basis, foundation"
混血,konketsu,"mixed race, mixed parentage"
コンタクト (レンズ),kontakuto (renzu),contact; contact lens
昆虫,konchuu,"insect, bug"
根底,kontei,"root, basis, foundation"
混同,kondou,"confusion, mixing, merger"
コントラスト,kontorasuto,contrast
コントロール,kontorooru,control
コンパス,kompasu,compass
根本,kompon,"foundation, root, base"
財,zai,"fortune, riches"
再会,saikai,"meeting again, reunion"
災害,saigai,"calamity, disaster, misfortune"
細菌,saikin,"bacillus, bacterium, germ"
細工,saiku,"work, craftsmanship, trick"
採掘,saikutsu,mining
サイクル,saikuru,cycle
採決,saiketsu,"vote, roll call"
再建,saiken,(temple or shrine) rebuilding
再現,saigen,"reproduction, return, revival"
財源,zaigen,"source of funds, resources, finances"
在庫,zaiko,"stockpile, stock"
採算,saisan,profit
サイズ,saizu,size
再生,saisei,"playback, regeneration, resuscitation"
財政,zaisei,"economy, financial affairs"
最善,saizen,the very best
採択,saitaku,"adoption, selection, choice"
栽培,saibai,cultivation
再発,saihatsu,"return, relapse, reoccurrence"
細胞,saibou,cell
採用,saiyou,"use, adopt"
遮る,saegiru,"to interrupt, to intercept, to obstruct"
さえずる,saezuru,"to sing, to chirp, to twitter"
冴える,saeru,"to be clear, to be bright, to be skillful"
竿,sao,"rod, pole (e.g., for drying laundry)"
栄える,sakaeru,"to flourish, to prosper, to thrive"
差額,sagaku,"balance, difference, margin"
杯,sakazuki,wine cup
逆立ち,sakadachi,"handstand, headstand"
さきに (いぜん),sakini (izen),"before, earlier than, previously"
詐欺,sagi,"fraud, swindle"
削減,sakugen,"cut, reduction"
錯誤,sakugo,mistake
作戦,sakusen,"military operations, tactics, strategy"
叫び,sakebi,"shout, scream, outcry"
捧げる,sasageru,"to lift up, to give, to offer"
差し掛かる,sashikakaru,"to come near to, to approach"
指図,sashizu,"instruction, mandate"
差し出す,sashidasu,"to present, to submit, to hold out"
差し支える,sashitsukaeru,"to interfere, to hinder"
授ける,sazukeru,"to grant, to award, to teach"
摩する,sasuru,"to rub, to stroke"
さぞ (さぞや。さぞかし),sazo (sazoyasazokashi),"I am sure, certainly, no doubt"
定まる,sadamaru,"to become settled, to be fixed"
定める,sadameru,"to decide, to determine"
座談会,zadankai,"symposium, round-table discussion"
雑,zatsu,"rough, crude"
雑貨,zakka,"miscellaneous goods, general goods"
殺人,satsujin,murder
察する,sassuru,"to guess, to sense, to judge"
雑談,zatsudan,"chatting, idle talk"
さっと,satto,"suddenly, smoothly"
さっぱりする,sapparisuru,to refresh
悟る,satoru,"to attain enlightenment, to understand"
最中,sanaka,"in the middle of, midst"
座標,zahyou,coordinates
さほど,sahodo,"not so, not that much"
サボる,saboru,to cut (skip) classes; to loaf on the job; to idle away one's time
様,sama,state; way (a person does something); Mr. or Mrs.
寒気,samuke,"chill, shiver, cold"
侍,samurai,samurai
さも,samo,"with gusto, with satisfaction"
作用,sayou,"operation, effect, function"
さらう (こどもを~),sarau (kodomoo~),to kidnap
障る,sawaru,"to hinder, to interfere with, to affect"
酸,san,acid
山岳,sangaku,mountains
参議院,sangiin,House of Councilors
産休,sankyuu,maternity leave
サンキュー,sankyuu,thank you
残金,zankin,remaining money
産後,sango,"postpartum, after childbirth"
残酷,zankoku,"cruelty, harshness"
産出,sanshutsu,"yield, produce"
参照,sanshou,"reference, consultation, consultation"
参上,sanjou,"calling on, visiting"
残高,zandaka,"(bank) balance, remainder"
サンタクロース,santakuroosu,Santa Claus
桟橋,sambashi,"wharf, jetty, pier"
賛美,sambi,"praise, adoration, glorification"
山腹,sampuku,"hillside, mountainside"
産婦人科,sanfujinka,maternity and gynecology department
産物,sambutsu,"product, result, fruit"
山脈,sammyaku,mountain range
仕上がり,shiagari,"finish, end, completion"
仕上,shiage,"end, finishing touches"
仕上げる,shiageru,"to finish up, to complete"
飼育,shiiku,"breeding, raising, rearing"
強いて,shiite,"to dare, to insist"
シート,shiito,seat; sheet
ジーパン,jiipan,jeans
仕入れる,shiireru,"to lay in stock, to replenish stock, to procure"
強いる,shiiru,"to force, to compel, to coerce"
潮,shio,tide
歯科,shika,dentistry
自我,jiga,"self, ego"
自覚,jikaku,self-conscious
仕掛,shikake,"device, trick, mechanism"
仕掛ける,shikakeru,"to lay, to set, to wage"
しかしながら,shikashinagara,"however, nevertheless"
色彩,shikisai,color
式場,shikijou,"ceremonial hall, place of ceremony (e.g., marriage)"
しきたり,shikitari,"custom, conventional practice, tradition"
事業,jigyou,"project, enterprise, business"
軽蔑,keibetsu,"scorn, disdain"
経歴,keireki,"personal history, career"
経路,keiro,"course, route, channel"
けがらわしい,kegarawashii,"filthy, unfair"
劇団,gekidan,"troupe, theatrical company"
激励,gekirei,encouragement
ゲスト,gesuto,guest
獣,kedamono,"beast, brute"
決,ketsu,"decision, vote"
決意,ketsui,"decision, determination"
結核,kekkaku,tuberculosis
決議,ketsugi,"resolution, vote, decision"
結合,ketsugou,"combination, union"
決算,kessan,"balance sheet, settlement of accounts"
月謝,gessha,monthly tuition fee
決勝,kesshou,finals (in sports)
結晶,kesshou,"crystal, crystallization"
結成,kessei,formation
結束,kessoku,"union, unity"
げっそり,gessori,"being disheartened, losing weight"
決断,ketsudan,"decision, determination"
月賦,geppu,monthly installment
欠乏,ketsubou,shortage
蹴飛ばす,ketobasu,"to kick away, to kick (someone)"
けなす,kenasu,to speak ill of
煙たい,kemutai,"smoky, feeling awkward"
煙る,kemuru,"to smoke (e.g., fire)"
獣,kemono,"beast, brute"
家来,kerai,"retainer, retinue, servant"
下痢,geri,diarrhea
権威,keni,"authority, power, influence"
兼業,kengyou,holding two jobs at the same time
原形,genkei,"original form, base form"
原型,genkei,"prototype, model, archetypal"
権限,kengen,"power, authority, jurisdiction"
現行,genkou,"present, current, in operation"
健在,kenzai,"in good health, well"
原作,gensaku,original work
検事,kenji,public prosecutor
原子,genshi,atom
元首,genshu,"ruler, sovereign"
原書,gensho,original document
懸賞,kenshou,"offering prizes, winning, reward"
健全,kenzen,"health, soundness, wholesome"
元素,genso,element
同調,douchou,"sympathy, agree with, alignment"
到底,toutei,(cannot) possibly
動的,douteki,"dynamic, kinetic"
尊い,toutoi,"precious, valuable, noble"
貴い,toutoi,"precious, valuable, noble"
同等,doutou,"equality, equal, same rank"
堂々,doudou,"magnificent, grand, impressive"
尊ぶ,toutobu,"to value, to prize, to esteem"
どうにか,dounika,"in some way or other, one way or another"
投入,tounyuu,"throw, investment, making (an electrical circuit)"
導入,dounyuu,"introduction, bringing in, leading in"
当人,tounin,"the one concerned, the said person"
同封,doufuu,"enclosure (e.g., in a letter)"
逃亡,toubou,escape
冬眠,toumin,"hibernation, winter sleep"
同盟,doumei,"alliance, union, league"
どうやら,douyara,"it seems like, somehow or other"
動力,douryoku,"power, motive power, dynamic force"
登録,touroku,"registration, register, record"
討論,touron,discussion; debate
遠ざかる,toozakaru,to go far off
遠回り,toomawari,"detour, roundabout way"
トーン,toon,tone
とかく,tokaku,"anyhow, anyway, in any case"
とがめる,togameru,"to blame, to rebuke"
時折,tokiori,sometimes
とぎれる,togireru,"to pause, to be interrupted"
研ぐ,togu,"to sharpen, to grind, to polish"
特技,tokugi,special talent; skill
独裁,dokusai,"dictatorship, despotism"
特産,tokusan,"specialty, special product"
独自,dokuji,"original, peculiar, characteristic"
特集,tokushuu,"feature (e.g., newspaper, special edition, report)"
独占,dokusen,monopoly
独創,dokusou,originality
得点,tokuten,"score, points made"
特派,tokuha,"send specially, special envoy"
特有,tokuyuu,"characteristic (of, peculiar (to))"
とげ (をさす),toge (osasu),thorn
遂げる,togeru,"to accomplish, to achieve, to carry out"
~どころか,~dokoroka,"rather, far from"
年頃,toshigoro,"age, marriageable age, adolescence"
戸締り,tojimari,"closing up, locking the doors"
途上,tojou,"en/in route, half way"
土台,dodai,"foundation, base, basis"
途絶える,todaeru,"to stop, to cease, to come to an end"
特許,tokkyo,"special permission, patent"
特権,tokken,"privilege, special right"
とっさに,tossani,at once
突如,totsujo,"suddenly, all of a sudden"
とって,totte,"handle, grip, knob"
突破,toppa,"breaking through, breakthrough, penetration"
土手,dote,"embankment, bank"
届,todoke,"report, notification, registration"
滞る,todokooru,"to stagnate, to be delayed"
整える,totonoeru,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money"
止める,todomeru,"to end, to stop, to cease, to resign"
唱える,tonaeru,"to recite, to chant, to call upon"
殿様,tonosama,feudal lord
土俵,dohyou,arena
扉,tobira,"door, opening"
溝,dobu,"ditch, drain, gap"
徒歩,toho,"walking, going on foot"
土木,doboku,public works
とぼける,tobokeru,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage"
乏しい,toboshii,"meager, scarce, hard up, poor"
富,tomi,"wealth, fortune"
富む,tomu,"to be rich, to become rich"
共稼ぎ,tomokasegi,"working together, (husband and wife) earning a living together"
伴う,tomonau,"to accompany, to bring with"
共働き,tomobataraki,dual income (husband and wife both working)
ドライ,dorai,dry
ドライクリーニング,doraikuriiningu,dry cleaning
ドライバー,doraibaa,"driver, screwdriver"
ドライブイン,doraibuin,drive in
トラブル,toraburu,trouble (sometimes used as a verb)
トランジスター,toranjisutaa,transistor
とりあえず,toriaezu,"at once, first of all, for the time being"
取扱,toriatsukai,"treatment, handling, management"
取り扱う,toriatsukau,"to treat, to handle, to deal in"
鳥居,torii,Shinto shrine archway
取り替え,torikae,"swap, exchange"
取り組む,torikumu,"to tackle, to engage in a bout, to come to grips with"
取締り,torishimari,"control, crackdown, supervision"
取り締まる,torishimaru,"to crack down, to control, to supervise"
取り調べる,torishiraberu,"to investigate, to examine"
取り立てる,toritateru,"to collect, to extort"
取り次ぐ,toritsugu,"to act as an agent for, to announce (someone), to convey (a message)"
取り付ける,toritsukeru,"to furnish, to install; to get someone's agreement"
取り除く,torinozoku,"to remove, to take away, to set apart"
取引,torihiki,"transactions, dealings, business"
取り巻く,torimaku,"to surround, to circle, to enclose"
取り混ぜる,torimazeru,"to mix, to put together"
取り戻す,torimodosu,"to take back, to regain"
取り寄せる,toriyoseru,"to order, to send away for"
ドリル,doriru,drill
副,toriwake,"especially, above all"
とろける,torokeru,melt; to be enchanted with
鈍感,donkan,"thickheadedness, stolidity"
とんだ,tonda,"terrible, awful, serious, absolutely not"
度忘れ,dowasure,"lapse of memory, forget for a moment"
問屋,tonya,wholesale store
内閣,naikaku,"cabinet, (government)"
乃至,naishi,"from...to, between...and, or"
内緒,naisho,"secrecy, privacy, secret"
内心,naishin,"innermost thoughts, real intention, inmost heart"
内蔵,naizou,internal organ; built-in
ナイター,naitaa,"game under lights (e.g., baseball), night game"
内部,naibu,"interior, inside, internal"
内乱,nairan,"civil war, domestic conflict"
内陸,nairiku,inland
苗,nae,rice seedling
なおさら,naosara,"all the more, still less"
流し,nagashi,sink
長々,naganaga,"long, drawn-out, very long"
中程,nakahodo,"middle, midway"
渚,nagisa,"water's edge, beach, shore"
嘆く,nageku,"to sigh, to lament, to grieve"
投げ出す,nagedasu,"to abandon, to throw out"
仲人,nakoudo,"go-between, matchmaker"
和やか,nagoyaka,"mild, calm, harmonious"
名残,nagori,"remains, traces, memory"
情け,nasake,"sympathy, compassion"
情無い,nasakenai,"miserable, pitiable, shameful"
情深い,nasakebukai,"tender-hearted, compassionate"
詰る,najiru,"to rebuke, to scold, to tell off"
名高い,nadakai,"famous, celebrated, well-known"
雪崩,nadare,avalanche
懐く,natsuku,to become emotionally attached
名付ける,nazukeru,to name
何気ない,nanigenai,"casual, unconcerned"
なにとぞ,nanitozo,"please, kindly, by all means"
なにより,naniyori,"most, best"
ナプキン,napukin,napkin
名札,nafuda,"name plate, name tag"
生臭い,namagusai,"smelling of fish or blood, fish or meat"
生温い,namanurui,"lukewarm, halfhearted"
生身,namami,"living flesh, flesh and blood, the quick"
鉛,namari,lead (the metal)
滑らか,nameraka,"smoothness, glassiness"
嘗める,nameru,to lick; to experience; to make fun of
悩ましい,nayamashii,"seductive, melancholy, languid"
悩ます,nayamasu,"to bother, to harass, to molest"
悩み,nayami,"trouble(s), worry, distress"
並びに,narabini,and
成り立つ,naritatsu,"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true"
なるたけ,narutake,"as much as possible, if possible"
慣れ,nare,"practice, experience"
馴々しい,narenareshii,"familiar, make free with"
~なんか,~nanka,in the least ~
ナンセンス,nansensu,nonsense
何だか,nandaka,"a little, somewhat, somehow"
なんだかんだ,nandakanda,something or other
なんなり,nannari,"anything, whatever"
荷,ni,"load, baggage, cargo"
似通う,nikayou,to resemble closely
にきび,nikibi,"pimple, acne"
賑わう,nigiwau,"to prosper, to flourish, to be crowded with people"
憎しみ,nikushimi,hatred
肉親,nikushin,"blood relationship, blood relative"
肉体,nikutai,"the body, the flesh"
逃げ出す,nigedasu,"to run away, to escape from"
西日,nishibi,westering sun
滲む,nijimu,"to run, to blur, to spread"
にせ物,nisemono,"imitation, counterfeit"
日夜,nichiya,"day and night, always"
荷造り,nizukuri,"packing, baling, crating"
担う,ninau,"to carry on shoulder, to bear (burden), to shoulder (gun)"
鈍る,niburu,"to become less capable, to grow dull, to become blunt, to weaken"
にも関わらず,nimokakawarazu,"in spite of, nevertheless"
ニュアンス,nyuansu,nuance
ニュー,nyuu,new
入手,nyuushu,"obtaining, coming to hand"
入賞,nyuushou,winning a prize or place (in a contest
入浴,nyuuyoku,"bathe, bathing"
尿,nyou,urine
認識,ninshiki,"recognition, cognizance"
妊娠,ninshin,"conception, pregnancy"
任務,nimmu,"duty, mission, task"
任命,nimmei,"appointment, nomination, ordination"
抜かす,nukasu,"to omit, to leave out"
抜け出す,nukedasu,"to slip out, to sneak away, to excel"
主,nushi,"owner, master, god"
沼,numa,"swamp, bog, pond"
音色,neiro,"tone color, timbre"
値打ち,neuchi,"value, worth, price"
ネガ,nega,(photographic) negative
寝かせる,nekaseru,"to put to bed, to lay down, to ferment"
ねじまわし,nejimawashi,screwdriver
捩れる,nejireru,"twist, strain"
妬む,netamu,"to be jealous, to be envious"
ねだる,nedaru,"to nag, to demand"
熱意,netsui,"zeal, enthusiasm"
熱湯,nettou,boiling water
熱量,netsuryou,calorific value
粘り,nebari,"stickiness, viscosity"
粘る,nebaru,"to be sticky, to be adhesive, to persist, to stick to"
値引き,nebiki,"price reduction, discount"
根回し,nemawashi,making necessary arrangements
眠たい,nemutai,sleepy
練る,neru,"to knead, to work over, to polish up"
念,nen,"sense, feeling, desire"
年賀,nenga,"New Year's greetings, New Year's card"
念願,nengan,"one's heart's desire, earnest petition"
年号,nengou,"name of an era, year number"
燃焼,nenshou,"burning, combustion"
年長,nenchou,seniority
燃料,nenryou,fuel
年輪,nenrin,annual tree ring
ノイローゼ,noirooze,neurosis (GER: Neurose)
農耕,noukou,"farming, agriculture"
農場,noujou,farm
農地,nouchi,agricultural land
納入,nounyuu,"payment, supply"
逃す,nogasu,"to let loose, to set free, to let escape"
逃れる,nogareru,to escape
軒並,nokinami,row of houses; uniformly
望ましい,nozomashii,"desirable, hoped for"
乗っ取る,nottoru,"to capture, to occupy, to take over"
のどか,nodoka,"tranquil, calm, quiet"
罵る,nonoshiru,"to speak ill of, to abuse"
延べ,nobe,"futures, credit (buying), stretching, total"
飲み込む,nomikomu,"to gulp down, to swallow deeply, to understand"
乗り込む,norikomu,"to board, to get into (a car); to march into, to enter"
刃,ha,"blade, sword"
~派,~ha,"group, party, section (mil)"
バー,baa,bar
把握,haaku,"grasp, catch, understanding"
パート,paato,part-time job
廃棄,haiki,"disposal, abandon, discarding"
配給,haikyuu,"distribution (e.g., films, rice"
ばい菌,baikin,"bacteria, germ(s)"
配偶者,haiguusha,spouse
拝啓,haikei,-- a formal greeting used at the beginning of a letter --
背景,haikei,"background, scenery, setting"
背後,haigo,"back, rear"
廃止,haishi,"abolition, repeal"
拝借,haishaku,(humble) (polite) borrowing
排除,haijo,"exclusion, removal, rejection"
賠償,baishou,"reparations, indemnity, compensation"
排水,haisui,drainage
敗戦,haisen,"defeat, losing a war"
配置,haichi,"arrangement (of resources), disposition"
配布,haifu,distribution
配分,haibun,"distribution, allotment"
敗北,haiboku,defeat (as a verb it means 'to be defeated')
倍率,bairitsu,"diameter, magnification"
配慮,hairyo,"consideration, concern, forethought"
配列,hairetsu,"arrangement, array (programming)"
破壊,hakai,destruction
いたわる,itawaru,"to sympathize with, to console, to care for"
一概に,ichigaini,"unconditionally, necessarily"
著しい,ichijirushii,"remarkable, considerable"
一同,ichidou,"all present, all concerned, all of us"
一部分,ichibubun,"a part, a portion"
一別,ichibetsu,parting
一面,ichimen,"one side, the other hand"
一目,ichimoku,"a glance, a look, a glimpse"
一様,ichiyou,"uniform, similar, equal"
一律,ichiritsu,"even, uniform, equal"
一連,ichiren,"a series, a chain, a ream (of paper)"
一括,ikkatsu,"all together, batch"
一気,ikki,"at one push, in one gulp"
一挙に,ikkyoni,"at a stroke, with a single swoop"
一見,ikken,"a look, a glimpse, glance; first meeting"
一切,issai,"without exception, the whole"
一心,isshin,"one mind, with rapt attention"
いっそ,isso,"rather, sooner, might as well"
一変,ippen,complete change
意図,ito,"intention, aim, design"
営む,itonamu,"to carry on (e.g., in ceremony), to run a business"
挑む,idomu,to challenge
稲光,inabikari,(flash of) lightning
祈り,inori,"prayer, supplication"
いびき,ibiki,snoring
今更,imasara,"now, again"
未だ,imada,"yet, still"
移民,imin,"emigrant, immigrant"
嫌々,iyaiya,"reluctantly, by no means, unwillingly"
卑しい,iyashii,"greedy, vulgar, shabby"
いやに,iyani,"awfully, terribly"
いやらしい,iyarashii,"unpleasant, disgusting, indecent"
意欲,iyoku,"will, desire, ambition"
威力,iryoku,"power, might, authority"
衣類,irui,"clothes, clothing, garments"
異論,iron,"different opinion, objection"
印鑑,inkan,"stamp, seal"
陰気,inki,"gloom, melancholy"
隠居,inkyo,retirement; retired person
インターチェンジ,intaachienji,interchange
インターナショナル,intaanashonaru,international
インターフォン,intaafuon,"entry phone, intercom"
インテリ,interi,"(abbr.) egghead, intelligentsia"
インフォメーション,infuomeeshon,information
インフレ,infure,(abbr.) inflation
受かる,ukaru,to pass (examination)
受け入れ,ukeire,"receiving, acceptance"
受け入れる,ukeireru,"to accept, to receive"
受け継ぐ,uketsugu,"to inherit, to succeed"
受け付ける,uketsukeru,"to be accepted, to receive (an application)"
受け止める,uketomeru,"to catch, to react to, to take"
受身,ukemi,"passive, passive voice"
受持ち,ukemochi,"charge (of something), matter in one's charge"
動き,ugoki,"movement, activity, trend"
埋める,uzumeru,"to bury, to fill"
嘘つき,usotsuki,liar
うたた寝,utatane,"dozing, napping"
打ち明ける,uchiakeru,"to confess, to be open"
打ち切る,uchikiru,"to stop, to abort, to discontinue, to close"
打ち消し,uchikeshi,"(gram) negation, denial, negative"
打ち込む,uchikomu,"to devote oneself to, to shoot into"
団扇,uchiwa,fan
内訳,uchiwake,"the items, breakdown, classification"
写し,utsushi,"copy, duplicate"
訴え,uttae,"lawsuit, complaint"
うっとうしい,uttoushii,"weary, annoying"
うつむく,utsumuku,"to look downward, to stoop"
空ろ,utsuro,"blank, hollow, empty"
器,utsuwa,"bowl, vessel, container"
腕前,udemae,"ability, skill, facility"
雨天,uten,rainy weather
促す,unagasu,"to urge, to suggest, to demand"
うぬぼれ,unubore,"pretension, conceit, hubris"
生まれつき,umaretsuki,"by nature, by birth, native"
埋め込む,umekomu,"to embed, implant"
梅干し,umeboshi,dried plum
裏返し,uragaeshi,"inside out, reverse"
売り出し,uridashi,(bargain) sale
売り出す,uridasu,"to put on sale, to market"
潤う,uruou,to be moist; to profit by
浮気,uwaki,"affair, to cheat"
上回る,uwamawaru,to exceed
植わる,uwaru,to be planted
運営,unei,"management, administration, operation"
うんざり,unzari,"tedious, boring, being fed up with"
運送,unsou,"shipping, freight"
運賃,unchin,"freight rates, shipping expenses, (passenger) fare"
云々,unnun,"and so on, and so forth"
運搬,umpan,"transport, carriage"
運命,ummei,fate
運輸,unyu,transportation
運用,unyou,"making use of, application, practical use"
エアメール,eameeru,air mail
~営,~ei,~ run
英字,eiji,English letter (character)
映写,eisha,projection
映像,eizou,"reflection, image"
英雄,eiyuu,"hero, great man"
液,eki,"liquid, fluid"
閲覧,etsuran,"inspection, reference, browse"
獲物,emono,"game, spoils, trophy"
襟,eri,"neck, collar"
エレガント,ereganto,elegant
円滑,enkatsu,"harmony, smoothness"
縁側,engawa,"veranda, porch, balcony, open corridor"
沿岸,engan,"coast, shore"
婉曲,enkyoku,"euphemistic, indirect, insinuating"
演出,enshutsu,"production (erg. play, direction)"
エンジニア,enjinia,engineer
演じる,enjiru,"to perform, to play (a part), to act"
演ずる,enzuru,"to perform, to play (a part), to act"
沿線,ensen,along railway line
縁談,endan,marriage proposal
遠方,empou,"long way, distant place"
円満,emman,"harmony, peace, smoothness"
追い込む,oikomu,"to herd, to corner, to drive"
追い出す,oidasu,"to expel, to drive out"
於いて,oite,"at, in, on"
老いる,oiru,"to age, to grow old"
応急,oukyuu,emergency
黄金,ougon,gold
往診,oushin,"doctor's visit, house call"
応募,oubo,"subscription, application"
おおい (かん),ooi (kan),hey
大方,ookata,"almost all, majority"
大柄,oogara,"large build, large pattern"
おおげさ,oogesa,"grandiose, exaggerated"
大筋,oosuji,"outline, summary"
大空,oozora,"heaven, the sky"
オートマチック,ootomachikku,automatic
大幅,oohaba,"full width, large scale, drastic"
おおまかな,oomakana,"rough, approximate"
大水,oomizu,flood
公,ooyake,public
犯す,okasu,"to perpetrate, to violate"
侵す,okasu,"to invade, to raid, to trespass"
臆病,okubyou,"cowardice, timidity"
遅らす,okurasu,"to retard, to delay"
厳か,ogosoka,"majestic, dignified"
行い,okonai,"conduct, behavior, action"
おごる (ゆうしょくを~),ogoru (yuushokuo~),to give (someone) a treat
収まる,osamaru,to settle into; to be obtained
納まる,osamaru,to settle into; to be obtained
治まる,osamaru,"to be at peace, to calm down"
お産,osan,(giving) birth
押し切る,oshikiru,to have one's own way
押し込む,oshikomu,"to push into, to crowd into"
惜しむ,oshimu,"to be frugal, to value, to regret"
押し寄せる,oshiyoseru,"to push aside, to advance on"
雄,osu,male (animal)
御世辞,oseji,"flattery, compliment"
襲う,osou,to attack
遅くとも,osokutomo,at the latest
恐れ,osore,"fear, horror"
恐れ入る,osoreiru,"to be filled with awe, to feel small"
おだてる,odateru,to flatter
落ち込む,ochikomu,to get depressed
落ち着き,ochitsuki,"calm, composure"
落葉,ochiba,fallen leaves
乙,otsu,2nd in rank
お使い,otsukai,errand
おっかない,okkanai,"frightening, scary"
お手上げ,oteage,"given in, given up hope"
おどおど,odoodo,"coweringly, hesitantly"
脅す,odosu,"to threaten, to menace"
訪れる,otozureru,to visit
お供,otomo,"attendant, companion"
衰える,otoroeru,"to become weak, to decline"
同い年,onaidoshi,of the same age
自ずから,onozukara,"naturally, as a matter of course"
